CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 5887 , , , , , 
SEGUNDO , 6259 , 1816 , , , , 
TERCERO , 4072 , 5495 , 2511 , , , 
CUARTO , 1074 , 1500 , 3043 , 1475 , , 
QUINTO , 306 , 858 , 2145 , 3597 , 1260 , 
SEXTO , 4 , 26 , 29 , 36 , 72 , 88 
