del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 706 , , , , , 
SEGUNDO , 1356 , 350 , , , , 
TERCERO , 1795 , 2156 , 598 , , , 
CUARTO , 834 , 836 , 1123 , 308 , , 
QUINTO , 1016 , 769 , 1189 , 1775 , 685 , 
SEXTO , 0 , 0 , 16 , 30 , 39 , 16 
