del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 6832 , , , , , 
SEGUNDO , 5386 , 1713 , , , , 
TERCERO , 4852 , 5563 , 1594 , , , 
CUARTO , 2333 , 2214 , 3016 , 842 , , 
QUINTO , 2173 , 1704 , 2164 , 3376 , 926 , 
SEXTO , 8 , 20 , 60 , 98 , 137 , 125 
