TIPO DE BECA , ALUMNOS 
MEC. RÉGIMEN GENERAL , 10566 
MIN. TRABAJO ASUNTOS SOCIALES , 17 
MINISTERIO ASUNTOS EXTERIORES , 136 
SIN ESPECIFICAR , 1238 
GOBIERNO VASCO , 7 
SÓCRATES ERASMUS (Europa Occ) , 1920 
SÍCUE SÉNECA (Nacional) , 417 
LIBRE INTERCAMBIO (Internac.) , 57 
INTERCAMBIO (Internac.) , 157 
MARRUECOS , 40 
TOTAL BECARIOS , 14555 
