EDADES , VARONES , MUJERES , TOTALES 
(HASTA) 17 , 461 , 762 , 1223 
18 , 2036 , 3403 , 5439 
19 , 2447 , 3971 , 6418 
20 , 2987 , 4119 , 7106 
21 , 2903 , 3997 , 6900 
22 , 2747 , 3621 , 6368 
23 , 2440 , 2824 , 5264 
24 , 1994 , 2017 , 4011 
25 , 1503 , 1604 , 3107 
26 , 1204 , 1177 , 2381 
27 , 887 , 862 , 1749 
28 , 629 , 657 , 1286 
29 , 517 , 499 , 1016 
(Y MAS) 30 , 2237 , 2314 , 4551 
TOTALES , 24992 , 31827 , 56819 
MAYORES 28 , 3383 , 3470 , 6853 
