, VARONES, , MUJERES, , TOTALES, 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4893,706 , 6086,746 , 10979,1452 
SEGUNDO , 3338,1706 , 5213,1886 , 8551,3592 
TERCERO , 2925,3041 , 4642,3413 , 7567,6454 
CUARTO , 2040,1704 , 2479,2197 , 4519,3901 
QUINTO , 1758,2712 , 1998,2880 , 3756,5592 
SEXTO , 108,61 , 213,74 , 321,135 
