, VARONES, , MUJERES, , TOTALES, 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 0,0 , 0,0 , 0,0 
SEGUNDO , 1,0 , 0,0 , 1,0 
TERCERO , 0,8 , 0,2 , 0,10 
CUARTO , 0,0 , 0,0 , 0,0 
QUINTO , 0,0 , 0,0 , 0,0 
SEXTO , 0,0 , 0,0 , 0,0 
