CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 0 , 0 , 0 
SEGUNDO , 1 , 0 , 1 
TERCERO , 8 , 2 , 10 
CUARTO , 0 , 0 , 0 
QUINTO , 0 , 0 , 0 
SEXTO , 0 , 0 , 0 
