Descripción,Enlace
Repositorio Institucional de la Universidad de Granada,http://digibug.ugr.es/
OTRI: Oficina de Transferencia de Resultados de la Investigación,http://otri.ugr.es/
Vicerrectorado de Política Científica e Investigación,http://investigacion.ugr.es/
Canal UGR,http://canal.ugr.es/
