CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 1 , 270 , 271 
SEGUNDO , 8 , 7 , 15 
TERCERO , 26 , 18 , 44 
CUARTO , 10 , 11 , 21 
QUINTO , 26 , 32 , 58 
SEXTO , 0 , 0 , 0 
