NACIONALIDAD , VARONES , MUJERES , TOTALES 
ALEMANIA , 1 , 39 , 40 
AUSTRIA , 0 , 2 , 2 
BELGICA , 0 , 2 , 2 
BIELORUSIA , 0 , 1 , 1 
BULGARIA , 0 , 1 , 1 
COREA DEL SUR , 0 , 2 , 2 
DINAMARCA , 0 , 5 , 5 
EE. UU. DE AMERICA , 0 , 69 , 69 
ESLOVAQUIA , 0 , 1 , 1 
ESPAÑA , 69 , 69 , 138 
FILIPINAS , 0 , 1 , 1 
FINLANDIA , 0 , 4 , 4 
FRANCIA , 0 , 34 , 34 
GRECIA , 0 , 4 , 4 
HOLANDA (PAISES BAJO , 0 , 4 , 4 
IRLANDA (EIRE) , 0 , 10 , 10 
ITALIA , 0 , 30 , 30 
MEXICO , 0 , 1 , 1 
POLONIA , 0 , 11 , 11 
PORTUGAL , 0 , 3 , 3 
REINO UNIDO , 0 , 28 , 28 
SUECIA , 0 , 5 , 5 
SUIZA , 0 , 1 , 1 
U. R. S. S. , 0 , 8 , 8 
UCRANIA , 0 , 2 , 2 
SIN ESPECIFICAR , 1 , 1 , 2 
