del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 3 , , , , , 
SEGUNDO , 0 , 10 , , , , 
TERCERO , 3 , 17 , 23 , , , 
CUARTO , 0 , 4 , 8 , 10 , , 
QUINTO , 0 , 1 , 10 , 26 , 24 , 
SEXTO , 0 , 0 , 0 , 0 , 0 , 0 
