del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 270 , , , , , 
SEGUNDO , 1 , 6 , , , , 
TERCERO , 2 , 6 , 11 , , , 
CUARTO , 0 , 2 , 3 , 7 , , 
QUINTO , 0 , 1 , 6 , 17 , 13 , 
SEXTO , 0 , 0 , 0 , 0 , 0 , 0 
