"Rama ","Tasa de rendimiento (%)","Tasa de éxito (%)","Tasa de evaluación (%)"
"UGR ","92,06","99,82","92,22 "
"Artes y Humanidades ","89,96","99,83","90,11 "
"Ciencias ","92,76","99,66","93,08 "
"Ciencias de la Salud ","95,70","99,89","95,80 "
"Ciencias Sociales y Jurídicas","90,98","99,81","91,15 "
"Ingeniería y Arquitectura ","90,68","99,98","90,70"
