"UNIVERSIDAD DE GRANADA","Nº MEDIO DE CRÉDITOS MATRICULADOS","Nº MEDIO DE CRÉDITOS PRESENTADOS","Nº MEDIO DE CRÉDITOS SUPERADOS"
"ARTES Y HUMANIDADES","52,98","42,53","39,28 "
"CIENCIAS","51,72","41,46","36,40 "
"CIENCIAS DE LA SALUD","76,12","65,31","59,10 "
"CIENCIAS SOCIALES Y JURÍDICAS","47,73","38,27","33,51 "
"INGENIERÍA Y ARQUITECTURA","41,43","31,42","27,28 "
"TODAS LAS RAMAS","48,48","38,60","34,04"
